gpudetect???13532@@io_write,mediasdk_server???20492@@io_write,parfait_crash_handler???11812@@io_write,parfait_crash_handler???11252@@io_write,tiktok_live_studio???22828@@io_write,tiktok_live_studio???17312@@io_write,tiktok_live_studio???21900@@io_write,tiktok_live_studio???24944@@io_write,tiktok_live_studio???20276@@io_write,tiktok_live_studio???8216@@io_write,tiktok_live_studio???4716@@io_write,tiktok_live_studio???8248@@io_write,tiktok_live_studio???19500@@io_write,tiktok_live_studio???4272@@io_write,tiktok_live_studio???15084@@io_write,tiktok_live_studio???10704@@io_write,tiktok_live_studio???5804@@io_write,tiktok_live_studio???11164@@io_write,total_io_write
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.23,0.04,0.1,0,3.23,0.01,0,0,0,0,0.01,0,0,0.02,3.64
0,0,0,0,0.16,0.04,0.07,0,3.15,0.01,0,0,0,0,0.01,0,0,0.02,3.48
0,0,0,0,0.14,0.05,0.03,0,3.55,0.02,0,0,0,0,0.01,0,0,0.02,3.83
0,0,0,0,0.17,0.05,0.09,0,3.53,0.02,0,0,0,0,0.01,0,0,0.02,3.89
0,0.01,0,0,0.19,0.05,0.06,0,3.47,0.01,0,0,0,0,0.01,0,0,0.02,3.81
0,0,0,0,0.21,0.05,0.13,0,3.54,0.01,0,0,0,0,0.01,0,0,0.02,3.97
0,0,0,0,0.25,0.05,0.12,0,3.66,0.03,0,0,0,0,0.01,0,0,0.02,4.14
0,0,0,0,0.14,0.05,0.03,0,3.46,0.01,0,0,0,0,0.01,0,0,0.02,3.72
0,0,0,0,0.12,0.05,0.05,0,3.43,0.01,0,0,0,0,0.01,0,0,0.02,3.69
0,0.01,0,0,0.26,0.05,0.09,0,3.6,0.01,0,0,0,0,0.01,0,0,0,4.03
0,0,0,0,0.25,0.05,0.13,0,3.6,0.03,0,0,0,0,0.01,0,0,0.03,4.11
0,0,0,0,0.24,0.04,0.12,0,3.4,0.03,0,0,0,0,0.01,0,0,0,3.85
0,0,0,0,0.21,0.05,0.13,0,3.54,0.02,0,0,0,0,0.01,0.01,0,0.02,3.99
0,0,0,0,0.11,0.05,0.03,0,3.56,0.01,0,0,0,0,0.01,0,0,0.02,3.8
0,0.01,0,0,0.22,0.05,0.09,0,3.55,0.03,0,0,0,0,0.01,0,0,0.02,3.97
0,0,0,0,0.18,0.05,0.15,0,3.63,0.01,0,0,0,0,0.01,0,0,0.02,4.05
0,0,0,0,0.26,0.05,0.14,0,3.45,0,0,0.05,0,0,0.01,0,0,0.02,3.98
0,0,0,0,0.27,0.05,0.25,0,3.72,0.02,0,0,0,0,3.55,0,0,3.94,11.8
