sys_memory,gpudetect???13532@@memory,mediasdk_server???20492@@memory,parfait_crash_handler???11812@@memory,parfait_crash_handler???11252@@memory,tiktok_live_studio???22828@@memory,tiktok_live_studio???17312@@memory,tiktok_live_studio???21900@@memory,tiktok_live_studio???24944@@memory,tiktok_live_studio???20276@@memory,tiktok_live_studio???8216@@memory,tiktok_live_studio???4716@@memory,tiktok_live_studio???8248@@memory,tiktok_live_studio???19500@@memory,tiktok_live_studio???4272@@memory,tiktok_live_studio???15084@@memory,tiktok_live_studio???10704@@memory,tiktok_live_studio???5804@@memory,tiktok_live_studio???11164@@memory,total_memory
21958.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21948.04,35,121.16,0.07,2.85,107.27,87.91,23.24,15.51,108.36,51.05,7.25,51.65,51.57,43.84,66.4,42.05,17.78,52.2,885.16
21947.11,35.26,121.16,0.07,2.85,105.09,104.94,23.22,15.51,105.53,41.06,7.25,51.69,51.59,43.88,66.59,41.96,17.78,52.72,888.14
21926.76,35.26,121.16,0.07,2.85,102.88,92,23.14,15.51,105.96,40.68,7.25,50.5,50.72,44.13,63.73,41.99,17.78,52.34,867.96
21899.53,35.26,121.16,0.07,2.85,103.45,95.31,23.18,15.51,108.05,41.16,7.25,50.5,50.74,44.15,63.85,42.01,17.78,52.5,874.78
21900.61,35.27,121.16,0.07,2.85,103.38,111.84,23.13,15.52,108.75,41.38,7.25,50.5,50.74,43.82,63.98,42.04,17.78,52.66,892.12
21904.81,35.46,121.16,0.07,2.85,107.66,114.88,23.19,15.52,107.82,40.36,7.25,50.53,50.78,43.89,63.25,42.47,17.79,52.55,897.48
21941.82,35.46,121.16,0.07,2.85,106.55,81.11,23.19,15.52,108.21,41.33,7.25,50.21,50.81,44.38,61.31,43.09,17.79,52.65,862.95
21812.65,35.61,121.16,0.07,2.85,103.83,83.01,23.16,15.52,109.58,41.45,7.25,50.23,50.84,44.44,61.35,42.83,17.79,52.6,863.58
21815.04,35.64,121.21,0.07,2.85,103.33,105.48,23.1,15.53,108.46,41.61,7.25,50.26,50.86,44.07,61.5,42.86,17.79,52.73,884.6
21809.16,35.7,121.21,0.07,2.85,103.4,84.01,23.14,15.53,108.04,41.85,7.25,50.28,50.89,44.12,61.52,42.34,17.79,52.75,862.74
21811.48,35.73,121.21,0.07,2.85,104.64,114.78,23.22,15.53,108.14,43.12,7.25,49.56,50.93,43.49,62.32,42.39,17.79,51.85,894.88
21804.17,36.05,121.21,0.07,2.85,103.81,112.4,23.17,15.54,108.49,43.14,7.25,49.61,50.96,43.52,61.41,42.43,17.79,52.04,891.74
21799.83,36.13,121.21,0.07,2.85,104.46,114.74,23.17,15.54,106.45,43.12,7.25,49.64,51,43.57,61.57,42.47,17.8,52.53,893.56
21824.08,36.16,121.21,0.07,2.85,104.34,114,23.17,15.54,105.84,41.48,7.25,49.66,51,43.63,61.66,42.2,17.8,52.87,890.75
21811.37,36.23,121.21,0.07,2.85,104.49,114.7,23.15,15.55,106.47,40.93,7.25,49.7,51.03,43.67,61.83,42.24,17.8,52.5,891.67
21805.14,37.05,121.21,0.07,2.85,106.98,104.18,23.11,15.55,107.45,41.12,7.25,49.72,51.06,43.7,61.95,42.27,17.8,52.38,885.73
21777.23,37.09,121.21,0.07,2.85,103.45,93.52,23.16,15.55,107.83,41.83,7.25,52.21,50.35,43.74,62.07,42.33,17.8,52.59,874.9
21749.81,37.11,121.21,0.07,2.85,104.54,81.19,23.28,15.55,107.14,42.84,7.25,0,50.37,43.56,61.91,42.36,17.81,52.77,811.82
21728.04,37.24,121.21,0.07,2.85,104.18,81.2,23.21,15.55,107.82,41.95,7.25,0,50.41,43.6,61.23,42.35,17.81,52.49,810.43
